id,device_code,person_index,coordinate_x,coordinate_y,coordinate_z,remaining_time,posture,event,area_id,timestamp
7372203,9D8A326309E7,0,22,17,0,0,4,0,1,1743269335
7372202,9D8A326309E7,0,22,17,0,0,4,0,1,1743269333
7372201,9D8A326309E7,0,22,17,0,0,4,0,1,1743269332
7372200,9D8A326309E7,0,22,17,0,0,4,0,1,1743269331
7372199,9D8A326309E7,0,22,17,0,0,4,0,1,1743269330
7372198,9D8A326309E7,0,22,17,0,0,4,0,1,1743269329
7372197,9D8A326309E7,0,22,17,0,0,4,0,1,1743269328
7372196,9D8A326309E7,0,22,17,0,0,4,0,1,1743269327
7372195,9D8A326309E7,0,22,17,0,0,4,0,1,1743269326
7372194,9D8A326309E7,0,22,17,0,0,4,0,1,1743269325
7372193,9D8A326309E7,0,22,17,0,0,4,0,1,1743269324
7372192,9D8A326309E7,0,22,17,0,0,4,0,1,1743269323
7372190,9D8A326309E7,0,22,17,0,0,4,0,1,1743269322
7372189,9D8A326309E7,0,22,17,0,0,4,0,1,1743269321
7372188,9D8A326309E7,0,23,17,0,0,4,0,1,1743269320
7372187,9D8A326309E7,0,23,18,0,0,1,0,1,1743269319
7372186,9D8A326309E7,0,23,18,0,0,1,0,1,1743269318
7372185,9D8A326309E7,0,23,18,101,0,1,0,1,1743269317
7372184,9D8A326309E7,0,18,12,76,0,1,0,1,1743269316
7372183,9D8A326309E7,0,13,5,64,0,1,0,1,1743269315
7372182,9D8A326309E7,0,7,0,93,0,1,0,1,1743269314
7372181,9D8A326309E7,0,3,-3,104,0,1,0,1,1743269313
7372180,9D8A326309E7,0,2,-3,103,0,1,0,1,1743269312
7372179,9D8A326309E7,0,3,-2,90,0,1,0,1,1743269311
7372177,9D8A326309E7,0,3,2,92,0,1,0,1,1743269310
7372176,9D8A326309E7,0,1,5,89,0,1,0,1,1743269309
7372175,9D8A326309E7,0,-3,7,77,0,1,0,1,1743269308
7372174,9D8A326309E7,0,-8,6,69,0,1,0,1,1743269307
7372173,9D8A326309E7,0,-11,1,71,0,1,0,1,1743269306
7372172,9D8A326309E7,0,-11,-2,82,0,1,0,1,1743269305
7372171,9D8A326309E7,0,-10,-1,0,0,1,0,1,1743269304
7372170,9D8A326309E7,0,-10,1,68,0,1,0,1,1743269303
7372169,9D8A326309E7,0,-8,7,71,0,1,0,1,1743269302
7372168,9D8A326309E7,0,-6,9,70,0,1,0,1,1743269301
7372167,9D8A326309E7,0,0,10,90,0,1,0,1,1743269301
7372166,9D8A326309E7,0,9,8,79,0,1,0,1,1743269300
7372165,9D8A326309E7,0,14,4,86,0,3,0,1,1743269299
7372164,9D8A326309E7,0,13,1,91,0,3,0,1,1743269298
7372163,9D8A326309E7,0,14,0,98,0,3,0,1,1743269297
7372162,9D8A326309E7,0,16,0,0,0,3,0,1,1743269296
7372161,9D8A326309E7,0,12,0,0,0,3,0,1,1743269295
7372160,9D8A326309E7,0,12,0,0,0,4,0,1,1743269294
7372159,9D8A326309E7,0,12,0,0,0,4,0,1,1743269293
7372158,9D8A326309E7,0,13,0,0,0,1,0,1,1743269292
7372156,9D8A326309E7,0,11,0,72,0,4,0,1,1743269291
7372155,9D8A326309E7,0,9,-3,75,0,4,0,1,1743269290
7372154,9D8A326309E7,0,6,-5,77,0,4,0,1,1743269289
7372153,9D8A326309E7,0,5,-5,103,0,4,0,1,1743269288
7372152,9D8A326309E7,0,5,-5,0,0,4,0,1,1743269287
7372151,9D8A326309E7,0,4,-4,86,0,1,0,1,1743269286
7372150,9D8A326309E7,0,4,-5,93,0,1,0,1,1743269285
7372149,9D8A326309E7,0,3,-4,120,0,1,0,1,1743269284
7372148,9D8A326309E7,0,2,-4,112,0,1,0,1,1743269283
7372147,9D8A326309E7,0,1,-2,88,0,1,0,1,1743269282
7372146,9D8A326309E7,0,0,2,52,0,1,0,1,1743269281
7372144,9D8A326309E7,0,7,3,66,0,1,0,1,1743269280
7372142,9D8A326309E7,0,14,8,88,0,1,0,1,1743269279
7372141,9D8A326309E7,0,19,14,106,0,4,1,1,1743269278

